                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.4043,                0.72165,                 1.2259,                0.87741,                0.77952,                0.84818,                0.46405,                 1.6141,                0.72711,                  1.551,              0.0005545,              0.0005545,              0.0005545
                     47,                 1.3766,                0.72514,                  1.202,                0.82218,                0.82401,                0.85782,                0.47631,                 1.6262,                0.75293,                 1.5171,              0.0005446,              0.0005446,              0.0005446
                     48,                 1.3629,                0.71887,                 1.2254,                0.84178,                0.79012,                0.84785,                0.47177,                 1.6458,                0.75761,                 1.5349,              0.0005347,              0.0005347,              0.0005347
                     49,                 1.3438,                0.71622,                 1.1872,                0.83675,                0.81683,                 0.8675,                0.45555,                 1.7039,                0.76754,                 1.5369,              0.0005248,              0.0005248,              0.0005248
                     50,                 1.3432,                0.69201,                 1.2008,                0.88235,                0.83168,                0.87323,                0.46833,                 1.6226,                0.75414,                 1.4982,              0.0005149,              0.0005149,              0.0005149
                     51,                 1.3516,                0.70027,                 1.1797,                0.85651,                0.79788,                0.86662,                0.47002,                 1.6028,                0.80251,                 1.5114,               0.000505,               0.000505,               0.000505
                     52,                 1.3359,                0.69252,                 1.2119,                0.84429,                0.78713,                0.83456,                0.46726,                 1.5878,                0.74941,                 1.5158,              0.0004951,              0.0004951,              0.0004951
                     53,                 1.3675,                 0.6835,                 1.2233,                0.83069,                0.80693,                0.84751,                0.46418,                  1.603,                0.76114,                 1.4926,              0.0004852,              0.0004852,              0.0004852
                     54,                 1.2977,                0.66344,                 1.1769,                0.82947,                0.78713,                 0.8294,                0.45223,                 1.6357,                0.74759,                 1.5267,              0.0004753,              0.0004753,              0.0004753
                     55,                 1.2935,                0.66634,                 1.1877,                0.82898,                0.81585,                0.87627,                0.46116,                 1.6364,                0.73633,                 1.5435,              0.0004654,              0.0004654,              0.0004654
                     56,                 1.3418,                0.69359,                 1.1887,                0.80663,                0.83168,                0.87487,                0.46957,                 1.6398,                0.73542,                 1.5291,              0.0004555,              0.0004555,              0.0004555
                     57,                 1.2939,                0.64757,                   1.16,                0.87787,                0.80198,                0.85367,                0.46608,                 1.6252,                0.73155,                 1.5507,              0.0004456,              0.0004456,              0.0004456
                     58,                  1.262,                0.64613,                 1.1644,                0.88761,                0.86013,                0.89523,                0.46816,                 1.6208,                0.70686,                 1.5338,              0.0004357,              0.0004357,              0.0004357
                     59,                 1.2298,                0.61463,                 1.1653,                0.87037,                0.82673,                0.86769,                0.47619,                 1.6003,                0.69606,                 1.5269,              0.0004258,              0.0004258,              0.0004258
                     60,                 1.2599,                0.66739,                 1.1598,                0.88886,                0.83142,                0.87735,                0.48148,                 1.6023,                0.69312,                 1.5178,              0.0004159,              0.0004159,              0.0004159
                     61,                 1.2907,                0.65733,                 1.1847,                0.90557,                0.85453,                0.89665,                 0.4906,                 1.5886,                0.65963,                 1.5239,               0.000406,               0.000406,               0.000406
                     62,                 1.2508,                0.63633,                 1.1758,                0.87489,                0.83087,                0.87039,                0.47329,                 1.6108,                0.69686,                 1.5384,              0.0003961,              0.0003961,              0.0003961
                     63,                 1.2209,                0.58294,                 1.1698,                0.86771,                0.84424,                0.87862,                0.49952,                 1.6178,                0.67396,                 1.5061,              0.0003862,              0.0003862,              0.0003862
